-1.340,-2.867,3.347,181.885,-95.703,-67.932
0.277,-1.359,-1.335,-30.396,88.806,-87.708
-0.578,-1.588,0.490,52.307,-86.304,-49.133
-0.696,-0.916,0.049,70.618,-93.506,-14.771
-0.670,-0.164,-0.279,43.823,-62.439,22.156
-0.702,-0.878,-0.057,22.095,-2.625,35.828
-0.311,-1.114,-0.032,-13.367,17.151,12.756
-0.151,-1.225,0.294,-21.545,13.916,3.845
0.014,-1.098,0.276,-12.573,1.343,1.160
-0.046,-1.062,0.185,7.690,-2.686,-6.958
-0.092,-0.979,0.153,15.930,0.977,-12.512
-0.112,-0.959,-0.020,9.949,9.644,-16.602
-0.131,-0.956,-0.102,1.221,9.583,-18.616
-0.137,-0.962,-0.147,-5.493,3.662,-17.395
-0.142,-0.963,-0.171,-9.583,-4.089,-12.695
-0.153,-0.971,-0.163,-11.230,-11.292,-7.446
-0.159,-0.979,-0.110,-11.230,-18.250,-3.418
-0.176,-1.010,-0.040,-9.033,-21.606,-1.343
-0.183,-1.027,0.017,-3.113,-20.386,0.061
-0.184,-1.026,0.058,1.404,-13.611,0.183
-0.176,-1.020,0.056,6.042,-3.967,-0.793
-0.170,-1.022,0.028,11.475,2.441,-2.319
-0.169,-1.005,0.008,14.893,6.836,-3.418
-0.173,-0.998,-0.011,15.076,9.705,-4.700
-0.174,-0.985,-0.027,13.489,10.803,-5.676
-0.172,-0.969,-0.046,10.376,10.376,-5.676
-0.178,-0.962,-0.055,7.019,8.301,-5.005
-0.186,-0.956,-0.051,5.005,6.104,-4.150
-0.194,-0.956,-0.052,3.601,5.127,-3.662
-0.195,-0.948,-0.040,1.526,4.944,-3.296
-0.199,-0.943,-0.024,-0.427,4.700,-2.930
-0.205,-0.935,-0.005,-1.587,4.272,-2.563
-0.205,-0.929,0.003,-2.014,4.456,-1.953
-0.205,-0.927,0.001,-2.014,4.517,-1.404
-0.199,-0.929,-0.011,-2.136,4.089,-0.183
-0.195,-0.937,-0.021,-2.380,3.662,1.221
-0.191,-0.955,-0.034,-2.502,3.723,2.869
-0.187,-0.978,-0.044,-2.747,3.967,4.028
-0.187,-0.991,-0.036,-2.869,4.517,5.188
-0.184,-1.000,-0.024,-2.991,4.883,5.493
-0.185,-1.003,-0.005,-3.113,5.005,5.371
-0.187,-1.010,0.002,-2.441,4.944,4.761
-0.190,-1.019,0.002,-1.282,4.395,3.723
-0.190,-1.023,-0.004,-0.061,3.662,2.563
-0.192,-1.022,-0.024,0.244,2.441,1.343
-0.197,-1.026,-0.036,-0.244,1.160,0.183
-0.192,-1.013,-0.043,-1.038,0.061,-0.488
-0.194,-1.009,-0.046,-1.587,-0.427,-0.854
-0.191,-1.000,-0.037,-2.380,-0.732,-0.671
-0.192,-0.992,-0.029,-3.418,-0.732,-0.183
-0.188,-0.986,-0.029,-3.967,-0.427,0.244
-0.190,-0.984,-0.024,-3.784,-0.671,0.854
-0.197,-0.988,-0.014,-3.540,-0.854,1.465
-0.200,-0.991,-0.009,-3.357,-0.671,1.831
-0.203,-1.000,-0.015,-3.540,-0.122,1.648
-0.200,-1.000,-0.017,-4.944,0.916,1.160
-0.199,-1.000,-0.021,-5.981,1.587,0.427
-0.197,-0.997,-0.028,-6.287,2.014,0.122
-0.194,-0.995,-0.031,-5.859,2.014,0.427
-0.191,-0.991,-0.026,-5.493,1.648,0.854
-0.190,-0.989,-0.019,-4.944,1.099,1.038
-0.190,-0.991,-0.024,-4.578,0.793,1.404
-0.187,-0.988,-0.024,-4.272,0.488,1.709
-0.186,-0.987,-0.018,-3.784,-0.122,1.831
-0.188,-0.993,-0.016,-2.747,-0.366,2.075
-0.188,-0.999,-0.018,-1.831,0.183,2.197
-0.190,-1.000,-0.013,-1.465,0.671,1.892
-0.191,-1.004,-0.011,-0.916,1.221,1.526
-0.188,-1.007,-0.006,0.061,1.587,1.160
-0.187,-1.010,-0.005,0.977,1.587,0.793
-0.186,-1.011,-0.009,1.282,1.648,0.305
-0.186,-1.008,-0.012,1.282,1.282,-0.061
-0.184,-1.005,-0.017,0.916,1.160,-0.488
-0.184,-1.001,-0.019,0.305,1.160,-0.610
-0.191,-0.996,-0.016,0.488,0.793,-0.366
-0.192,-0.994,-0.016,0.854,0.610,-0.061
-0.193,-0.999,-0.015,0.793,0.488,0.488
-0.193,-1.001,-0.007,0.427,0.244,0.977
-0.193,-1.004,-0.004,0.122,-0.061,0.977
-0.192,-1.002,-0.002,-0.244,-0.488,1.038
-0.193,-1.003,-0.002,-0.488,-0.610,0.732
-0.193,-1.000,-0.004,-0.427,-0.549,0.427
-0.190,-1.000,-0.008,-0.244,0.000,0.366
-0.187,-0.999,-0.007,-0.549,0.366,0.366
-0.185,-0.997,-0.003,-0.122,0.427,0.366
-0.182,-0.998,-0.005,0.427,0.427,0.671
