-0.166,0.163,0.364,84.595,104.065,34.302
-0.862,1.722,3.499,-82.825,-57.129,82.031
-0.148,2.577,1.403,-228.577,-125.122,155.762
0.151,2.135,0.500,-61.218,-47.119,112.793
-0.774,1.684,-0.431,47.668,44.556,54.932
-0.466,0.566,-0.119,65.613,45.898,3.540
-0.475,-0.207,0.054,55.237,18.555,-31.006
-0.394,0.736,0.054,17.761,-18.188,-37.109
-0.137,1.253,-0.149,-5.676,-16.174,-24.963
0.146,1.242,-0.338,-9.338,-4.578,8.728
0.177,0.934,-0.277,10.620,-4.883,12.878
0.014,0.922,-0.113,11.719,-11.963,20.874
-0.021,0.984,-0.008,2.014,-14.343,26.611
-0.063,1.001,0.174,-7.324,-9.094,26.489
-0.052,1.001,0.184,-12.024,2.563,20.935
-0.049,0.997,0.048,-10.864,12.390,13.977
-0.064,0.997,0.027,-11.414,13.123,7.935
-0.056,0.988,-0.053,-12.695,9.277,3.418
-0.068,1.036,-0.099,-9.216,5.432,1.465
-0.065,1.060,0.024,-4.395,0.671,0.793
-0.050,1.040,-0.129,5.310,2.197,1.282
-0.036,1.026,-0.117,12.695,1.709,2.869
-0.035,1.004,-0.089,17.334,-1.404,4.639
-0.044,0.986,-0.066,19.104,-3.479,7.202
-0.049,0.976,-0.037,18.127,-5.310,8.850
-0.053,0.956,-0.015,15.137,-5.859,9.033
-0.067,0.943,0.003,10.864,-5.310,8.728
-0.071,0.945,0.010,7.812,-4.333,8.118
-0.077,0.931,0.000,6.348,-3.113,6.409
-0.088,0.933,-0.002,4.944,-2.930,4.700
-0.096,0.923,-0.012,3.296,-2.930,3.723
-0.099,0.923,-0.029,1.465,-2.686,3.174
-0.103,0.919,-0.048,0.427,-2.319,2.502
-0.097,0.917,-0.054,0.122,-2.380,1.648
-0.086,0.918,-0.048,0.183,-2.380,0.977
-0.085,0.924,-0.039,-0.427,-2.808,-0.183
-0.079,0.931,-0.030,-0.366,-3.113,-1.221
-0.076,0.946,-0.019,-0.427,-3.418,-2.014
-0.075,0.968,-0.011,-0.488,-3.479,-3.052
-0.072,0.977,-0.015,-0.366,-3.906,-3.784
-0.072,0.986,-0.028,-0.793,-4.272,-4.150
-0.073,0.993,-0.045,-1.038,-4.028,-3.845
-0.078,1.003,-0.051,-0.610,-3.723,-3.296
-0.080,1.009,-0.052,0.488,-3.235,-2.441
-0.083,1.009,-0.045,1.526,-2.686,-1.709
-0.083,1.010,-0.028,2.014,-1.770,-0.977
-0.085,1.017,-0.013,2.319,-0.854,-0.244
-0.078,1.004,-0.007,2.075,0.061,0.427
-0.079,0.995,-0.000,1.892,0.610,0.854
-0.075,0.985,-0.007,1.038,0.732,0.916
-0.075,0.975,-0.019,-0.305,0.427,0.488
-0.078,0.975,-0.018,-1.587,-0.061,0.061
-0.078,0.973,-0.018,-1.709,-0.366,-0.671
-0.082,0.975,-0.028,-1.709,-0.366,-0.977
-0.085,0.976,-0.038,-1.770,-0.488,-0.977
-0.085,0.977,-0.037,-2.075,-0.549,-0.793
-0.083,0.978,-0.033,-3.052,-0.916,-0.244
-0.083,0.986,-0.027,-4.272,-1.343,0.488
-0.083,0.987,-0.023,-4.883,-1.465,1.160
-0.084,0.988,-0.016,-5.066,-1.648,1.526
-0.083,0.983,-0.016,-4.700,-1.587,1.343
-0.080,0.981,-0.024,-4.333,-1.587,1.099
-0.080,0.979,-0.025,-3.845,-1.526,0.610
-0.080,0.977,-0.021,-3.418,-1.343,0.183
-0.078,0.980,-0.024,-2.808,-0.793,-0.671
-0.076,0.984,-0.032,-1.770,-0.671,-0.854
-0.077,0.989,-0.032,-1.404,-0.854,-0.916
-0.078,0.995,-0.036,-0.916,-1.160,-0.732
-0.078,1.000,-0.039,-0.427,-1.282,-0.305
-0.077,1.000,-0.040,0.488,-1.465,-0.061
-0.077,0.999,-0.040,0.854,-1.343,0.366
-0.077,0.997,-0.037,1.160,-1.282,0.549
-0.076,0.993,-0.034,1.160,-1.160,0.671
-0.075,0.990,-0.029,1.221,-0.977,0.610
-0.079,0.987,-0.030,1.526,-0.916,0.366
-0.083,0.983,-0.032,1.831,-0.671,0.122
-0.086,0.985,-0.030,2.136,-0.671,-0.305
-0.086,0.985,-0.033,2.136,-0.488,-0.671
-0.085,0.990,-0.040,1.953,-0.122,-0.732
-0.085,0.989,-0.043,1.587,-0.061,-0.793
-0.082,0.990,-0.045,1.221,0.061,-0.732
-0.081,0.988,-0.045,1.221,0.183,-0.549
-0.079,0.988,-0.043,0.977,-0.061,-0.488
-0.079,0.986,-0.039,0.793,-0.427,-0.183
-0.076,0.987,-0.040,1.038,-0.549,-0.244
-0.075,0.987,-0.043,1.282,-0.671,-0.488
-0.075,0.990,-0.039,1.709,-0.854,-0.610
-0.074,0.986,-0.037,2.075,-0.671,-0.732
-0.074,0.985,-0.031,1.770,-0.427,-0.854
-0.076,0.985,-0.026,1.282,-0.183,-0.854
-0.075,0.989,-0.022,0.732,-0.122,-0.732
-0.076,0.990,-0.024,0.549,-0.244,-0.671
-0.077,0.993,-0.023,0.854,-0.366,-0.671
-0.079,0.991,-0.029,1.221,-0.427,-0.549
-0.077,0.989,-0.034,1.221,-0.366,-0.305
-0.074,0.987,-0.041,1.221,-0.366,0.061
-0.075,0.985,-0.039,0.610,-0.549,0.427
